GeoFIPS,GeoName,Region,LineCode,Description,Unit,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""41000""",Oregon,8,1,All industry total,Millions of current dollars,198743,201431.6,205718.7,206742.4,211952,214302.6,215172.9,218774,221533.8,225055.1,227717.5,232169.1,234832.4,238125.3,241630,244543.6,247561.7,250401.9,253036.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""42000""",Pennsylvania,2,1,All industry total,Millions of current dollars,704504.5,710825.5,713544.9,715946.7,715769.5,723648.2,731382.8,733855.2,733199.3,737782.1,749147.7,757031.5,766321.6,781034.6,790711.2,794603.7,801909.3,810326.2,817216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""44000""",Rhode Island,1,1,All industry total,Millions of current dollars,55986.3,56786.1,56730,57535.1,56766.6,57611.4,58037.5,58360.1,57614.3,58258.4,58781.2,59371.4,59733.7,60591,60413.2,61612.5,62578.2,63241.9,63903.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""45000""",South Carolina,5,1,All industry total,Millions of current dollars,199270.7,202259.8,206479.8,207673.1,208827.5,211981.7,213924.8,217215.5,220045.8,221655.5,223873.2,226869.8,228541.1,232473.9,235528.2,239176.3,242483.7,245082.8,247710.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""46000""",South Dakota,4,1,All industry total,Millions of current dollars,46572.2,47232.1,48002.8,49202.1,47236.8,48228.4,49438,49521.3,49901.6,49724.4,49747.1,49581.7,51214.4,51831.7,52381.7,52631.9,52429.9,53044.1,53692.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""47000""",Tennessee,5,1,All industry total,Millions of current dollars,315238.3,322001.5,326179.5,327235.3,329790.3,333161,336560.4,340590.9,341635.5,342837.4,346533.1,352793.2,355118.8,362874.1,368694.3,369732.5,374250.5,378285.5,382274.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""48000""",Texas,6,1,All industry total,Millions of current dollars,1573678.9,1567440.6,1571573.5,1561134.9,1534499,1557982.5,1575187,1594860.3,1625794.9,1647250.3,1675583.6,1713898.4,1751026.7,1792912,1823659.1,1842447.1,1852143.4,1881553.3,1896062.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""49000""",Utah,7,1,All industry total,Millions of current dollars,146297,148800.7,150354.7,152034.2,153814.9,156160,159338.6,162219.8,163166.5,165245.6,168887.1,171719.2,174343.7,177406.3,179586.4,181214,184766.8,187415.7,189809.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""50000""",Vermont,1,1,All industry total,Millions of current dollars,30250.5,30622.3,30983.5,31062.2,31344,31570.5,31855,31866.3,32033,31989,32292.3,32525.1,32726.3,33236.2,33393,33669.6,34284.2,34611.7,34973.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""51000""",Virginia,5,1,All industry total,Millions of current dollars,475367.6,483738.7,488981.4,488778.8,485790.1,491663.8,495768,502289.5,502533.7,506068.5,511746.7,517142.1,523334.2,530306.4,537213.5,540715.9,546006.8,551847.7,557143.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""53000""",Washington,8,1,All industry total,Millions of current dollars,460680.1,469063.4,476160.3,475413.4,483684,486653.7,491990.9,503104.2,510303.7,519540.5,528869.5,540544.8,549577.6,562939,573225.9,577581.4,587757.8,596412.1,603772.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""54000""",West Virginia,5,1,All industry total,Millions of current dollars,69999.8,70987.1,70415.1,69722,68831.9,69578.2,70001.7,70473.7,72739,72445.4,73174.9,74292.4,75115,77103.5,78765.6,78766.2,77725.2,78255.8,78270.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""55000""",Wisconsin,3,1,All industry total,Millions of current dollars,301561.1,305308,307634.5,308762.2,309191.2,312734.4,316166.5,316037.4,318062.7,319134.9,324423,326330.4,331469.2,334960,337893.6,340853.5,342613.2,345867,348822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""56000""",Wyoming,7,1,All industry total,Millions of current dollars,38106.8,37972.2,37906.6,36900.4,35862.2,35711.8,35606,35781.3,36797.4,37494.8,37316.9,38205.3,38430.9,38957.1,39473.3,39612.6,39392.8,39787.6,39610.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""91000""",New England,1,1,All industry total,Millions of current dollars,967941.7,983798.9,987199.4,996974.6,996315.1,1008825.2,1017229.4,1020385.5,1024646.9,1036724.2,1050150.9,1059490.8,1070862.9,1084947.1,1096173.9,1101530.8,1118702.8,1130084.1,1142586.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""92000""",Mideast,2,1,All industry total,Millions of current dollars,3295188.6,3338252.5,3355333.5,3338892.5,3394541.6,3428277,3441756.2,3465071.1,3499972,3510945.5,3556825.6,3603553.7,3638122.3,3693875,3731562.5,3739493.5,3786088.6,3827030.3,3860094.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""93000""",Great Lakes,3,1,All industry total,Millions of current dollars,2479242,2510680.2,2529747.7,2536017.1,2530996.5,2567488.8,2582623.2,2609224.7,2615672.1,2631864.5,2663017.6,2692639.2,2726836.9,2760112.3,2792493.9,2806181,2823072.7,2850256.8,2874941.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""94000""",Plains,4,1,All industry total,Millions of current dollars,1161363.3,1170922.3,1180362.9,1180259.5,1171411.5,1182575.8,1196511.2,1204380.8,1210961.2,1217961.9,1222638.7,1237067.4,1254538.2,1276889.3,1286820.1,1293224.6,1297961.6,1312713.8,1326160.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""95000""",Southeast,5,1,All industry total,Millions of current dollars,3776509.5,3838213,3877085.1,3886961.9,3897076.9,3944748.4,3982320.4,4027469.3,4069636.1,4092180.7,4137949.7,4204344,4246722.3,4314911.3,4369330.1,4404272.5,4448171.1,4496408.3,4542751.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""96000""",Southwest,6,1,All industry total,Millions of current dollars,2145245.3,2141563.5,2146618.3,2136588.6,2103756.4,2137775.2,2160651.5,2184537,2224717.9,2251951.7,2289383.5,2336998.3,2387296.3,2439998.8,2481337.4,2506004.5,2518585.5,2555783.2,2575222.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""97000""",Rocky Mountain,7,1,All industry total,Millions of current dollars,610401.9,616878.9,621441.9,622497.8,622394.2,631885.2,643101.6,652535.9,659465.6,668382.6,680260.6,691870.8,700121.1,713632.2,722371.4,729412.2,738616.1,748313,755730.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""98000""",Far West,8,1,All industry total,Millions of current dollars,3435909.3,3507281.3,3535297,3540890,3595412.9,3622800,3669273.1,3715028.1,3772227.3,3833546.9,3897975.4,3978744.9,4023459.3,4109577.5,4152243.5,4199473.4,4248593.6,4299733.4,4343748.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
